id,name,price,img_url,color,category,description
36,LED Desk Lamp with USB Charging Port,29.99,http://dummyimage.com/121x100.png/ff4444/ffffff,Teal,Office,Modern lamp featuring a USB port for convenient charging.
37,Vegan Caesar Dressing,3.99,http://dummyimage.com/122x100.png/cc0000/ffffff,Crimson,Food - Condiments,"Creamy vegan dressing made with cashews, perfect for salads."
38,Portable Pet Stroller,89.99,http://dummyimage.com/146x100.png/cc0000/ffffff,Green,Pets,Convenient stroller for pets to enjoy outdoor walks.
39,Ergonomic Gaming Chair,199.99,http://dummyimage.com/205x100.png/ff4444/ffffff,Pink,Gaming,Comfortable gaming chair for long hours of play.
40,Heavy-Duty Utility Tote,34.99,http://dummyimage.com/162x100.png/dddddd/000000,Teal,Accessories,"Large, durable tote bag for shopping and outdoor activities."
41,Asian Noodle Salad Kit,4.99,http://dummyimage.com/242x100.png/ff4444/ffffff,Khaki,Food - Salads,A pre-packaged salad kit with noodles and Asian-style dressing.
42,Electric Heat Pad,24.99,http://dummyimage.com/116x100.png/ff4444/ffffff,Orange,Health,Microwaveable heat pad for soothing muscle aches.
43,Walnut Halves,8.49,http://dummyimage.com/163x100.png/5fa2dd/ffffff,Maroon,Food - Nuts,Fresh walnut halves for baking or snacking.
44,Basil Lemonade,2.99,http://dummyimage.com/185x100.png/dddddd/000000,Teal,Food - Beverages,Refreshing basil-infused lemonade for a cool drink.
45,Mashed Sweet Potatoes,3.99,http://dummyimage.com/221x100.png/ff4444/ffffff,Maroon,Food - Sides,Creamy mashed sweet potatoes with a hint of cinnamon.
46,Organic Almond Flour,6.99,http://dummyimage.com/146x100.png/ff4444/ffffff,Puce,Food - Baking,Finely ground almonds for baking or cooking
47,Tomatillo Salsa,3.29,http://dummyimage.com/136x100.png/dddddd/000000,Violet,Food - Condiments,Tangy salsa made from tomatillos and peppers.
48,Puzzle 3D Model Kit,22.99,http://dummyimage.com/155x100.png/dddddd/000000,Khaki,Toys,3D model puzzle kit for creative builders.
49,Bamboo Toothbrush Holder,14.99,http://dummyimage.com/115x100.png/5fa2dd/ffffff,Violet,Health,Eco-friendly bamboo holder for toothbrushes.
50,Interactive Robot Toy,34.99,http://dummyimage.com/218x100.png/dddddd/000000,Red,Toys,Fun robot that engages kids with games and activities.
51,Pineapple Coconut Bars,3.79,http://dummyimage.com/143x100.png/5fa2dd/ffffff,Yellow,Food - Snacks,Refreshing dessert bars made with pineapple and coconut.
52,Wall Art Stickers,19.99,http://dummyimage.com/146x100.png/ff4444/ffffff,Teal,Home,Removable wall art stickers for home decoration.
53,Handmade Leather Wallet,49.99,http://dummyimage.com/153x100.png/ff4444/ffffff,Maroon,Accessories,High-quality leather wallet with multiple compartments.
54,Paint By Numbers Kit,24.99,http://dummyimage.com/124x100.png/5fa2dd/ffffff,Khaki,Art Supplies,Relaxing paint kit with pre-printed canvas for painting.
55,Chopping Board,29.99,http://dummyimage.com/135x100.png/dddddd/000000,Goldenrod,Kitchen,Reversible bamboo chopping board for food prep.
56,Fridge Magnet Set,15.99,http://dummyimage.com/246x100.png/dddddd/000000,Turquoise,Home,Fun fridge magnets to decorate your kitchen.
57,Electric Screwdriver,59.99,http://dummyimage.com/189x100.png/ff4444/ffffff,Aquamarine,Tools,Cordless electric screwdriver for home projects.
58,Ethically-Sourced Coffee Beans,9.99,http://dummyimage.com/131x100.png/5fa2dd/ffffff,Crimson,Food - Beverages,Freshly roasted coffee beans with rich flavor.
59,Chia Seed Pudding Mix,4.19,http://dummyimage.com/193x100.png/cc0000/ffffff,Blue,Food - Breakfast,Mix to create a delicious chia seed pudding in just a few minutes.
60,Beef Tacos,5.49,http://dummyimage.com/100x100.png/ff4444/ffffff,Puce,Food - Meat,"Pre-seasoned beef mix for delicious tacos, just heat and serve."
61,Classic Caesar Dressing,3.49,http://dummyimage.com/168x100.png/cc0000/ffffff,Puce,Food - Condiments,Rich and creamy Caesar dressing for salads and wraps.
62,Wrap Front Midi Skirt,44.99,http://dummyimage.com/154x100.png/ff4444/ffffff,Aquamarine,Clothing - Bottoms,"Elegant midi skirt with a wrap design, great for both formal and casual events."
63,Organic Green Tea,4.29,http://dummyimage.com/178x100.png/cc0000/ffffff,Orange,Food - Beverages,Delicate green tea leaves for a refreshing beverage.
64,Oven-Baked Chicken Tenders,6.99,http://dummyimage.com/118x100.png/cc0000/ffffff,Red,Food - Meat,"Crispy and juicy chicken tenders, perfect for dipping."
65,Kid's Fruit Snacks,2.49,http://dummyimage.com/243x100.png/ff4444/ffffff,Fuscia,Food - Snacks,Assorted fruit-flavored gummy snacks that kids love.
66,LED Christmas Tree Lights,34.99,http://dummyimage.com/114x100.png/ff4444/ffffff,Aquamarine,Home,String lights for decorating holiday trees.
67,Organic Quinoa Salad,5.99,http://dummyimage.com/248x100.png/dddddd/000000,Indigo,Food - Prepared Meals,A refreshing salad made with quinoa and seasonal veggies.
68,Noise Reduction Headphones,39.99,http://dummyimage.com/224x100.png/5fa2dd/ffffff,Fuscia,Audio,Passive noise reduction headphones for focus.
69,LED Canopy Lights,29.99,http://dummyimage.com/160x100.png/cc0000/ffffff,Puce,Outdoor,Energy-efficient lights to illuminate outdoor areas.
70,Beach Cover-Up,29.99,http://dummyimage.com/245x100.png/ff4444/ffffff,Red,Clothing - Swimwear,"Lightweight cover-up perfect for the beach, with a breezy design."
71,Window Bird Feeder,19.99,http://dummyimage.com/101x100.png/ff4444/ffffff,Aquamarine,Outdoor,Suction cup bird feeder for close-up bird watching.
72,Plant-Based Protein Bars,19.99,http://dummyimage.com/179x100.png/ff4444/ffffff,Red,Health,Nutritious protein bars for on-the-go snacking.
73,Tattoo Kit,99.99,http://dummyimage.com/140x100.png/cc0000/ffffff,Crimson,Art Supplies,Complete tattoo kit for beginners and professionals.
74,Sweet Corn,1.5,http://dummyimage.com/143x100.png/ff4444/ffffff,Red,Food - Canned Goods,"Tender sweet corn kernels, ready to eat or add to dishes."
75,Graphic Print Leggings,29.99,http://dummyimage.com/100x100.png/dddddd/000000,Orange,Clothing - Activewear,"Trendy leggings with a unique graphic print, versatile for workouts and casual wear."
76,Noise Reduction Headphones,39.99,http://dummyimage.com/132x100.png/cc0000/ffffff,Puce,Audio,Passive noise reduction headphones for focus.
77,Puzzle Game Set,34.99,http://dummyimage.com/226x100.png/dddddd/000000,Pink,Toys,Challenging puzzle game set for family entertainment.
78,Smartphone Photography Ring Light,29.99,http://dummyimage.com/220x100.png/5fa2dd/ffffff,Red,Photography,Portable ring light that enhances your photos with perfect lighting.
79,Multi-Function Smartphone Holder,12.99,http://dummyimage.com/173x100.png/5fa2dd/ffffff,Fuscia,Electronics,"Versatile holder that can be used on desks, cars, and more."
80,Tandoori Chicken Marinade,2.49,http://dummyimage.com/236x100.png/5fa2dd/ffffff,Teal,Food - Condiments,Delicious and tangy marinade for grilling or baking chicken.
81,Pesto Pasta Salad,4.99,http://dummyimage.com/119x100.png/ff4444/ffffff,Blue,Food - Prepared Foods,Cold pasta salad tossed with pesto and fresh vegetables.
82,Personalized Pet ID Tags,9.99,http://dummyimage.com/173x100.png/dddddd/000000,Purple,Pets,Custom engraved ID tags for pets with your contact information.
83,Basil Lemonade,2.99,http://dummyimage.com/222x100.png/5fa2dd/ffffff,Puce,Food - Beverages,Refreshing basil-infused lemonade for a cool drink.
84,Oven-Baked Chicken Tenders,6.99,http://dummyimage.com/101x100.png/5fa2dd/ffffff,Aquamarine,Food - Meat,"Crispy and juicy chicken tenders, perfect for dipping."
85,Lockable Bicycle Chain,19.99,http://dummyimage.com/172x100.png/cc0000/ffffff,Fuscia,Outdoor,Heavy-duty chain lock for securing bicycles.
86,Mediterranean Olives,6.49,http://dummyimage.com/135x100.png/cc0000/ffffff,Red,Food - Condiments,A mix of brined Mediterranean olives for snacking.
87,Pet Hair Vacuum Attachment,14.99,http://dummyimage.com/192x100.png/cc0000/ffffff,Khaki,Pets,Special attachment for vacuum cleaners to remove pet hair easily.
88,Laundry Detergent,12.99,http://dummyimage.com/184x100.png/5fa2dd/ffffff,Orange,Food - Household,Effective laundry detergent for a deep clean.
89,Smart Scale,59.99,http://dummyimage.com/155x100.png/5fa2dd/ffffff,Indigo,Health,Wi-Fi smart scale for tracking weight and BMI.
90,Cinnamon Raisin Bagels,4.19,http://dummyimage.com/204x100.png/cc0000/ffffff,Green,Food - Bakery,Soft bagels flavored with cinnamon and raisins.
91,Caramelized Onion Dip,3.99,http://dummyimage.com/177x100.png/cc0000/ffffff,Yellow,Food - Dairy,"Creamy dip made with caramelized onions, perfect for chips or veggies."
92,Almond Flour Cookies,4.99,http://dummyimage.com/242x100.png/cc0000/ffffff,Violet,Food - Bakery,Delicious cookies made with almond flour for a gluten-free treat.
93,Mediterranean Couscous Salad,5.49,http://dummyimage.com/189x100.png/dddddd/000000,Crimson,Food - Salads,"Couscous salad with cucumbers, tomatoes, feta, and olives, ready to eat."
94,Hummus,4.29,http://dummyimage.com/187x100.png/dddddd/000000,Pink,Food - Snacks,"Creamy chickpea dip, perfect for veggies or pita."
95,Travel Shoe Bags Set,15.99,http://dummyimage.com/247x100.png/5fa2dd/ffffff,Fuscia,Travel,Set of breathable bags for organizing shoes while traveling.
96,Pet Travel Carrier,39.99,http://dummyimage.com/237x100.png/dddddd/000000,Fuscia,Pets,Comfortable carrier for small pets during travel.
97,Outdoor Camping Hammock,29.99,http://dummyimage.com/203x100.png/5fa2dd/ffffff,Khaki,Outdoor,Lightweight and durable hammock for relaxing in nature.
98,Savory Italian Herbs,2.99,http://dummyimage.com/218x100.png/5fa2dd/ffffff,Goldenrod,Food - Spices,A blend of dried Italian herbs for cooking.
99,Black Bean & Corn Salad,3.99,http://dummyimage.com/162x100.png/dddddd/000000,Red,Food - Salads,"A fresh salad made with black beans, corn, and a zesty dressing, great for summer cookouts."
100,Drone,249.99,http://dummyimage.com/140x100.png/cc0000/ffffff,Mauv,Electronics,Beginner-friendly drone with HD camera.
101,Caramel Sauce,3.49,http://dummyimage.com/127x100.png/cc0000/ffffff,Aquamarine,Food - Condiments,Rich sauce for desserts and ice cream.
102,Wireless Gaming Mouse,39.99,http://dummyimage.com/198x100.png/5fa2dd/ffffff,Red,Gaming,Ergonomic mouse designed for gamers with high DPI.
103,LED Flashing Pet Collar,14.99,http://dummyimage.com/187x100.png/dddddd/000000,Green,Pets,Safety collar with flashing lights for pets during night walks.
104,Creamy Garlic Mashed Potatoes,3.99,http://dummyimage.com/207x100.png/ff4444/ffffff,Puce,Food - Sides,Rich and buttery mashed potatoes with roasted garlic.
105,Organic Spinach,2.99,http://dummyimage.com/115x100.png/dddddd/000000,Green,Food - Produce,"Fresh organic spinach, great for salads or cooking."
106,Strawberry Banana Smoothie Pack,4.99,http://dummyimage.com/212x100.png/ff4444/ffffff,Puce,Food - Frozen,Frozen smoothie pack with strawberries and bananas.
107,Tennis Racket,89.99,http://dummyimage.com/115x100.png/cc0000/ffffff,Mauv,Fitness,Lightweight tennis racket for beginners and advanced players.
108,Greek Yogurt,1.99,http://dummyimage.com/204x100.png/5fa2dd/ffffff,Khaki,Food - Dairy,Creamy Greek yogurt packed with protein and probiotics.
109,Organic Coconut Sugar,4.19,http://dummyimage.com/142x100.png/cc0000/ffffff,Teal,Food - Baking Goods,"A natural sweetener made from coconut sap, a healthier alternative to sugar."
110,Smart Plant Monitor,24.99,http://dummyimage.com/125x100.png/dddddd/000000,Puce,Garden,Device that tracks soil moisture and provides care tips.
111,Rechargeable Laptop Battery Pack,49.99,http://dummyimage.com/197x100.png/dddddd/000000,Teal,Electronics,Portable battery pack to charge laptops while on the move.
112,Set of Silicone Cooking Utensils,29.99,http://dummyimage.com/188x100.png/5fa2dd/ffffff,Teal,Kitchen,Non-stick utensils for safe and easy cooking.
113,Key Finder,19.99,http://dummyimage.com/148x100.png/5fa2dd/ffffff,Khaki,Accessories,Bluetooth-enabled key tracker to find lost items easily.
114,Cold Brew Coffee Concentrate,7.99,http://dummyimage.com/123x100.png/cc0000/ffffff,Green,Food - Beverages,"Rich and smooth cold brew coffee concentrate, just add water or milk."
115,Multi-Cooker,89.99,http://dummyimage.com/192x100.png/dddddd/000000,Teal,Kitchen,Versatile multi-cooker for pressure cooking and slow cooking.
116,Electric Toothbrush Holder,14.99,http://dummyimage.com/186x100.png/dddddd/000000,Indigo,Health,Sanitary holder that ensures your toothbrush stays clean.
117,Pepperoni Pizza Rolls,6.99,http://dummyimage.com/233x100.png/5fa2dd/ffffff,Maroon,Food - Snacks,"Savory pizza rolls filled with pepperoni and cheese, ready to bake and enjoy in minutes."
118,Kids' Science Experiment Kit,29.99,http://dummyimage.com/124x100.png/5fa2dd/ffffff,Red,Toys,Engaging kit with science experiments for children.
119,Peach Halves (canned),2.49,http://dummyimage.com/225x100.png/dddddd/000000,Yellow,Food - Canned Goods,"Sweet peach halves packed in juice, great for desserts."
120,Spicy Garlic Edamame,3.99,http://dummyimage.com/111x100.png/5fa2dd/ffffff,Aquamarine,Food - Snacks,"Steamed edamame tossed in a spicy garlic sauce, great for snacking."
121,Smart Water Bottle,39.99,http://dummyimage.com/247x100.png/cc0000/ffffff,Khaki,Fitness,Water bottle that tracks your hydration levels.
122,Customizable Wall Calendar,24.99,http://dummyimage.com/177x100.png/cc0000/ffffff,Aquamarine,Office,Personalize your calendar with photos and special dates.
123,Chocolate Raspberry Tart,9.99,http://dummyimage.com/157x100.png/5fa2dd/ffffff,Indigo,Food - Bakery,"Rich tart filled with chocolate and raspberry, a gourmet dessert."
124,Black Bean Salsa,3.49,http://dummyimage.com/121x100.png/dddddd/000000,Aquamarine,Food - Snacks,Spicy salsa made with black beans and tomatoes.
125,Cauliflower Pizza Crust,5.99,http://dummyimage.com/137x100.png/5fa2dd/ffffff,Green,Food - Frozen Foods,Healthy pizza crust made from cauliflower
126,Insulated Wine Tote,24.99,http://dummyimage.com/114x100.png/ff4444/ffffff,Indigo,Accessories,Stylish tote to keep wine bottles chilled while traveling.
127,Honey Sesame Chicken,8.99,http://dummyimage.com/157x100.png/dddddd/000000,Mauv,Food - Frozen Food,A delicious chicken dish featuring honey and sesame flavors.
128,Cranberry Almond Biscotti,4.19,http://dummyimage.com/140x100.png/dddddd/000000,Khaki,Food - Bakery,Crispy and delicious biscotti flavored with cranberry and almond.
129,Kitchen Scale,19.99,http://dummyimage.com/117x100.png/5fa2dd/ffffff,Purple,Kitchen,Digital scale for precise cooking measurements.
130,Teriyaki Chicken Wings,10.99,http://dummyimage.com/114x100.png/5fa2dd/ffffff,Red,Food - Frozen Food,Flavorful chicken wings marinated in a sweet teriyaki glaze.
131,Baked Falafel Balls,5.99,http://dummyimage.com/166x100.png/5fa2dd/ffffff,Aquamarine,Food - Frozen Vegetables,"Frozen falafel balls made from chickpeas and herbs, perfect for quick meals or salads."
132,Rice Noodles,3.49,http://dummyimage.com/145x100.png/dddddd/000000,Blue,Food - Grains,"Thin rice noodles, ideal for stir-fries and soups."
133,Shower Curtain Hooks,12.99,http://dummyimage.com/237x100.png/5fa2dd/ffffff,Crimson,Home,Stylish hooks to easily hang shower curtains.
134,Chia Seed Pudding Mix,4.19,http://dummyimage.com/163x100.png/5fa2dd/ffffff,Violet,Food - Breakfast,Mix to create a delicious chia seed pudding in just a few minutes.
135,Cooking Utensil Set,24.99,http://dummyimage.com/218x100.png/dddddd/000000,Teal,Kitchen,Complete set of cooking utensils made from bamboo.
136,Smartphone Camera Lens Kit,19.99,http://dummyimage.com/116x100.png/cc0000/ffffff,Green,Photography,Upgrade your phone photography with this lens kit that includes wide-angle and macro lenses.
137,Italian Sausage and Peppers,8.99,http://dummyimage.com/250x100.png/5fa2dd/ffffff,Yellow,Food - Meat,A flavorful blend of Italian sausage with sautéed peppers and onions.
138,Lemon Basil Pasta Sauce,4.99,http://dummyimage.com/155x100.png/dddddd/000000,Crimson,Food - Sauces,A tangy sauce that combines lemon zest and basil for a refreshing flavor.
139,Greek Feta Cheese,4.99,http://dummyimage.com/243x100.png/dddddd/000000,Maroon,Food - Dairy,Creamy and crumbly cheese for salads and dishes.
140,Laptop Sleeve,24.99,http://dummyimage.com/134x100.png/cc0000/ffffff,Crimson,Accessories,Padded laptop sleeve for protection against scratches.
141,Digital Bullet Journal,24.99,http://dummyimage.com/243x100.png/ff4444/ffffff,Fuscia,Apps,Stylish digital journaling app for notes and organizing tasks.
142,Fruit and Nut Energy Bites,2.99,http://dummyimage.com/185x100.png/ff4444/ffffff,Puce,Food - Snacks,Natural energy bites packed with fruits and nuts for a perfect snack.
143,Teriyaki Chicken Bowl,6.49,http://dummyimage.com/222x100.png/5fa2dd/ffffff,Aquamarine,Food - Prepared Meals,Ready-to-eat chicken bowl with teriyaki sauce and rice.
144,Pet Safety Belt for Car,14.99,http://dummyimage.com/182x100.png/ff4444/ffffff,Orange,Pets,Seat belt attachment to keep dogs safe during car rides.
145,Fettuccine Alfredo Dinner Kit,5.49,http://dummyimage.com/103x100.png/cc0000/ffffff,Green,Food - Prepared Meals,Easy meal kit for creamy fettuccine Alfredo.
146,Flavored Rice Cakes,2.49,http://dummyimage.com/129x100.png/ff4444/ffffff,Yellow,Food - Snacks,Light and crunchy rice cakes with a variety of flavors.
147,Vegetable Stir Fry Mix,3.29,http://dummyimage.com/192x100.png/dddddd/000000,Puce,Food - Fresh Produce,A mix of fresh vegetables for quick stir-fries.
148,Brown Rice,1.79,http://dummyimage.com/107x100.png/dddddd/000000,Orange,Food - Grains,Nutty and wholesome brown rice.
149,Biodegradable Trash Bags,12.99,http://dummyimage.com/104x100.png/dddddd/000000,Khaki,Home,Eco-friendly trash bags that break down naturally.
150,Ginger Snaps,2.79,http://dummyimage.com/133x100.png/dddddd/000000,Teal,Food - Confectionery,Spicy ginger cookies that are crunchy and delicious.
151,Mediterranean Flatbread,3.5,http://dummyimage.com/225x100.png/cc0000/ffffff,Indigo,Food - Bakery,"Artisan bread topped with olives, feta, and herbs, perfect for sharing."
152,Almond Butter Cups,3.29,http://dummyimage.com/110x100.png/ff4444/ffffff,Turquoise,Food - Snacks,"Rich chocolate cups filled with almond butter, a delicious treat."
153,Silicone Baking Molds,15.99,http://dummyimage.com/143x100.png/dddddd/000000,Indigo,Kitchen,Set of flexible molds for baking cakes and pastries.
154,Adjustable Resistance Bands,39.99,http://dummyimage.com/113x100.png/dddddd/000000,Pink,Fitness,Set of resistance bands for versatile strength training workouts.
155,Inspirational Wall Art,24.99,http://dummyimage.com/135x100.png/ff4444/ffffff,Goldenrod,Home,Quote wall art to inspire and motivate.
156,Beef Stroganoff Meal Kit,12.99,http://dummyimage.com/191x100.png/dddddd/000000,Yellow,Food - Frozen Meals,Complete meal kit with everything needed to make beef stroganoff in under 30 minutes.
157,Cinnamon Sugar Popcorn,2.89,http://dummyimage.com/178x100.png/ff4444/ffffff,Mauv,Food - Snacks,Sweet popcorn coated in a mixture of cinnamon and sugar.
158,Oven-Baked Potato Chips,2.79,http://dummyimage.com/216x100.png/dddddd/000000,Mauv,Food - Snacks,Light and crispy baked potato chips in assorted flavors.
159,Maple Breakfast Sausage,5.99,http://dummyimage.com/142x100.png/ff4444/ffffff,Purple,Food - Meat,Savory sausage links with a hint of maple flavor.
160,Tomato Sauce,2.79,http://dummyimage.com/228x100.png/cc0000/ffffff,Puce,Food - Canned Goods,Rich and flavorful tomato sauce for pasta or pizza.
161,Cucumber,0.99,http://dummyimage.com/191x100.png/ff4444/ffffff,Yellow,Food - Produce,"Fresh and crunchy cucumbers, great for salads."
162,Pet Safety Harness,24.99,http://dummyimage.com/227x100.png/dddddd/000000,Orange,Pets,Comfortable harness designed to keep pets safe in the car.
163,Vegetable Samosas,4.99,http://dummyimage.com/174x100.png/5fa2dd/ffffff,Red,Food - Frozen,Crispy pastry filled with seasoned vegetables.
164,Cranberry Orange Oatmeal,2.49,http://dummyimage.com/109x100.png/dddddd/000000,Khaki,Food - Breakfast,Instant oatmeal flavored with cranberries and orange zest for breakfast.
165,Apple Cinnamon Granola,4.49,http://dummyimage.com/108x100.png/dddddd/000000,Crimson,Food - Breakfast,A wholesome granola with bits of apple and a touch of cinnamon.
166,Set of Silicone Baking Molds,15.99,http://dummyimage.com/240x100.png/dddddd/000000,Orange,Kitchen,Flexible molds perfect for baking cakes and pastries.
167,Stuffed Bell Peppers,5.99,http://dummyimage.com/190x100.png/ff4444/ffffff,Violet,Food - Frozen Meals,Bell peppers stuffed with rice and vegetables
168,Portable Laptop Table,39.99,http://dummyimage.com/153x100.png/dddddd/000000,Aquamarine,Office,Foldable table for working with laptops anywhere.
169,Chipotle Seasoning Blend,2.49,http://dummyimage.com/208x100.png/dddddd/000000,Teal,Food - Spices,A smoky blend of spices for grilling and roasting.
170,Electrolyte Water Bottle,34.99,http://dummyimage.com/189x100.png/cc0000/ffffff,Turquoise,Fitness,Water bottle that tracks hydration levels and adds electrolytes.
171,Travel Sewing Kit,12.99,http://dummyimage.com/181x100.png/cc0000/ffffff,Aquamarine,Travel,Compact sewing kit for travel emergencies.
172,Travel Pillow with Memory Foam,29.99,http://dummyimage.com/208x100.png/dddddd/000000,Aquamarine,Travel,Ergonomically designed neck pillow for comfortable travel.
173,Smart Water Bottle,39.99,http://dummyimage.com/157x100.png/ff4444/ffffff,Yellow,Fitness,Water bottle that tracks your hydration levels.
174,Electric Nail File Kit,34.99,http://dummyimage.com/205x100.png/ff4444/ffffff,Red,Beauty,Professional-grade nail care set for manicures and pedicures.
175,Telescope,159.99,http://dummyimage.com/193x100.png/5fa2dd/ffffff,Turquoise,Outdoor,Beginner telescope for stargazing and exploring.
176,Pet Training Clicker,5.99,http://dummyimage.com/126x100.png/ff4444/ffffff,Violet,Pets,Simple tool to train your pet with positive reinforcement.
177,Organic Coconut Yogurt,4.49,http://dummyimage.com/104x100.png/dddddd/000000,Green,Food - Dairy,Dairy-free yogurt made from coconut milk.
178,Herbed Couscous,2.49,http://dummyimage.com/110x100.png/dddddd/000000,Violet,Food - Grains,Quick-cooking couscous flavored with herbs and spices.
179,Garlic Naan Bread,3.99,http://dummyimage.com/164x100.png/dddddd/000000,Red,Food - Bakery,"Soft and delicious garlic-infused flatbread, perfect for dipping."
180,Plant Pot Drip Trays,9.99,http://dummyimage.com/246x100.png/ff4444/ffffff,Crimson,Garden,Prevent water damage with drip trays for potted plants.
181,Kid's Fruit Snacks,2.49,http://dummyimage.com/125x100.png/ff4444/ffffff,Maroon,Food - Snacks,Assorted fruit-flavored gummy snacks that kids love.
